"Source:","C:\Users\mrtn\Documents\KiCad\6.0\projects\ESP8266_12F_BASIC\ESP8266_12F_BASIC.kicad_sch"
"Date:","03.02.2022 03:34:38"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~"
"","","C1","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C2","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C3","10uF","Device:C","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C5","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C6","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C7","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C8","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","D1","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"","","D2","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"","","D3","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"","","D4","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","J1","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"","","J2","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"","","Q1","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","R1","R_Photo","Device:R_Photo","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","~"
"","","R2","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R3","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R4","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R5","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R6","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R7","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","TP1","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~"
"","","TP2","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~"
"","","TP3","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~"
"","","TP4","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~"
"","","TP5","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~"
"","","TP6","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~"
"","","TP7","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~"
"","","U1","ESP-12F","RF_Module:ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf"
"","","U2","AP1117-33","Regulator_Linear:AP1117-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~"
"2","6","C1, C2, C5, C6, C7, C8","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"3","1","C3","10uF","Device:C","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"4","4","D1, D2, D3, D4","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"5","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"6","1","J1","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"7","1","J2","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"8","1","Q1","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"9","1","R1","R_Photo","Device:R_Photo","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","~"
"10","1","R2","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"11","4","R3, R4, R5, R6","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"12","1","R7","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"13","7","TP1, TP2, TP3, TP4, TP5, TP6, TP7","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_D3.0mm_Drill1.5mm","~"
"14","1","U1","ESP-12F","RF_Module:ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf"
"15","1","U2","AP1117-33","Regulator_Linear:AP1117-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf"
